post_id,text,label
M.1744993376.A.0AA,"影片 真的 扯 耶 直接 上銬 帶走 警總 

 復辟 拘提 發 拘票 銬走 
 
 搞 現行犯 逮捕 方式 徐 沒 
 
 文件 暴力 帶走 真的 蠻 爽 

--",
M.1745040736.A.011,"題 
 
 想 請問 一下 
 
 罹患 思覺 失調 症 
 
 服用 藥物 
 
 吃 段 時間 
 
 吃 兩 天 有效 ? 

--",
M.1745040005.A.FDE,"今天 看到 老婆 
 依然 十 感動 
 
 有點點 稍微 胖 
 覺得",
M.1744983158.A.99B,:,
M.1745031839.A.39E,"黃呂錦茹 無保 請回   黃國昌 : 推動 司改   竟 淪 執政 打壓 異己 工具 

2025-04-19 10:51 
 聯合報 ／   記者   張曼蘋 ／ 台北 即時 報導",
M.1744966826.A.50C,"2002年 伊拉克 入侵 戰 
 
 聯合國 聯軍 拿下 伊拉克 
 
 逼迫 養出來 伊拉克 政府 簽 平等 礦場 條約 
 
 聽說 烏克蘭 現在 簽 賣 礦產 條約 
 
 外國 資本 家 挖 礦 
 
 礦 

 垃圾 
 
 挖到 資源 


 20 前 伊拉克 簽 
 
 現在 伊拉克人 
 
 昨日 伊拉克   今日 烏克蘭   明日 




----- 
 Sent  from JPTT  on  my  iPhone 

--",
M.1744999148.A.D8F,"之前   發文 討論 阿
 
 台灣 警察 穿透力 高 9 mm   標準彈 吼    制止力 本來 想像 高 
 
 常常   狩獵   防衛用   中空彈   平頭彈   打到 開花  用   海洛因 
 嗎啡   強效 止痛藥   當下 痛 直接 動不了 
 
 種 子彈 缺點 打到 失血     清創 困難 ..

 喔   喔   標準彈   打到 軀幹   蠻 容易 直接 肺葉 打穿 
 
 標準彈 開花彈 手槍 本來 高機率 致死 武器 想 使用 高 機率 
 致死 武器 應該 配   泰瑟槍 



--",
M.1744992078.A.0B2,"有救 阿
 
 花錢 作 雷射 
 
 出 油 分泌 油脂 皮脂腺 細胞 太 活躍 
 
 雷射 次 

 油 基本 太 
 
 療程 好像 次 
 
 費用 大概 2萬 
 
 基本 脫離 吃 藥 A酸 控制 
 
 油 

 次 雷射 
 
--",
M.1745036157.A.44D,"聯合 

 母娘 文化館 揭牌 拉 布幕   賴清德 當場 蓋頭 點炮 嚇一跳 
 
2025 -04-19 12:07   聯合報 ／   記者 楊正海 ／ 台北 即時 報導 
 
 賴清德 總統 上午 參加 2025年 台北 母娘 文化季 繞境 嘉年華 台北市長 蔣萬安 台 扶鸞 
駕 繞境 儀式 抬轎 起駕 前 兩 一同 參加 母娘 文化館 落成 啟用 舉行 揭牌 儀式 過程 發
生 貴賓 拉下 布幕 瞬間 直接 蓋到 賴清德 內政部長 劉世芳 頭 賴清德 急忙 手 撥開 
 引起 虛驚 
 
 賴 總統 致詞 表示 松山 慈惠堂 5 60 信仰 中心 公益 化身 提到 蔣萬
安 慈惠堂 幫忙 台北市 政府 公益 慈惠堂 幫忙 台北市 行善 全 台灣 台北市 送救 
護車 富康 巴士 80多 台 當年 台南 地震 堂主 公開 呼籲 各界 協助 台南市 度過 難關 
 當時 台南 市長 永遠 記 心 裡 
 
 上午 揭牌 外 舉行 米龍 開光 儀式 賴 總統 欽點 米龍 之後 兩 貴賓室 等待 參加 扶鸞
 起駕 繞境 儀式 上午 10時 25分 準時 廣場 起駕 賴清德 蔣萬安 一同 扶 轎 放 馬砲
 點燃 聲 轟然 巨響 賴清德 嚇到 次 眉頭 緊 皺 在場 跳",
M.1745041693.A.345,"希望 不會 走到 步 


 明明 烏克蘭 想要 停戰 
 
 變成 川普 負責 
 
 路 看到 吉娃娃 比特犬 咬住 
 
 伸手   吉娃娃 指揮 救 
 
 美國人 下去 
 
 到底 溺水 搞 清楚 
 
 烏東俄裔 總有一天 死完 
 
 烏西烏 語區 夜店 韭菜 
 
 天 專業版  1:7 戰報 
 
 笑死 川迷 


--",
M.1745027011.A.F70,"波 北檢 抗議 
 
 看到 件 事 
 
1 . 蔣萬安 朱立倫 國民黨 主席 
 
2 . 看到 國民黨 很多 衝組 民代 
 
 羅智強 徐巧芯 王鴻薇 不用 講 
 
 議員 李明賢 游淑慧 鍾沛君 柳

 采葳 張斯綱 李柏毅 衝組 

 印象 深 李明賢",
M.1744993340.A.FD3,"以前 聽 名詞 
 
 叫作 民主 開箱 
 
 聽說 政治 公開   赤裸裸 看到 運作 
 
 聽起來 公正   中立 
 
 其實 平時 忙 
 沒 看過 真的 所謂 民主 開箱 
 
 看過   研究 
 真的 厲害 
 
--",
M.1745022163.A.9F8,"兩蔣 總統 獨裁 
 岩里政男 總統 獨裁 
 唯一 兩 少數 總統 陳水扁 獨裁 總統 
 兩 完全 執政 馬英九 獨裁 總統 
 兩 完全 執政 蔡英文 獨裁 總統 
 現任 少數 總統 賴清 史 獨裁 總統 
 
 臺灣 有史以來 獨裁 政體 
 臺灣 民主 笑話 
 
 
 臺灣 不配 擁有 民主 
 從來 民主 
 
 臺灣史 唯一 人民 放 心 裡面 
 獨裁 政權 抓去 土城 
 
--",
M.1744985140.A.4CF,"以前 女生 家 裡   房間 空   沒 東西   感覺 無聊 樣子 
 其實 知道 之前   丟 堆 東西   藏 藏 起來   空   男生 
 房間 東西   亂   清掉 家 裡 空   沒 東西 適合 家 
 實用性 高 質感 ? 好像 現在 智能 家居   掛鐘 擺來擺去 種 

--

--",
M.1744981662.A.BBD,"以前 薪水 3-4萬 
 現在 薪水 3-4萬 
 以前 雞排 賣 35 元 
 租金 便宜 時薪 低 雞肉 便宜 
 八卦 

--",
M.1744960035.A.1E5,"馬來西亞 吉隆坡 

 馬來文 Kuala  Lumpur 

 發音 瓜拉隆坡 
 
 吉隆坡 吉 開頭 
 
 沒 八卦 

--",
M.1744963364.A.51A,"備註 放 後面   違 新聞 文章 刪除 

1. 媒體 來源 : 
 聯合報 


2. 記者 署名 : 

 聯合報 ／  記者   張曼蘋 ／ 台北 即時 報導 


3. 完整 新聞 標題 : 

 白 提 重啟 核三 國內 移轉 投票 兩 公投   立院 交 黨團 協商 

4. 完整 新聞 內文 : 
 
 立法院 召開 院會 民眾黨 立院 黨團 拋出 兩 公投 提案 重啟 核三 落實 移轉 投票 
 法制化 引發 朝野 激烈 交鋒 最終 兩 公投 藍 白 人數 表決 優勢 順利 逕付 二讀 立
法院長 韓國瑜 表示 交由 民眾 黨團 負責 召集 黨團 協商 
 
 民眾 黨團 重啟 核三 公投 主文 同意 第三 核能 發電廠 整體 安全 評估 恢
 復 繼續 運轉 提案 說明 指出 台電 核三廠 號機 除役 台灣 核電 機組 運轉 完全 停 
 止 開發 新 能源 成效 不彰 光電 弊案 層出不窮 台電 購 電 成本 高 導致 巨幅 虧損 難 平 
 維繫 產業 供電 民生 用電 平穩 強化 能源 供應 韌性 輔助 能源 轉型 擬具 公投 提案 

 公投 提案 國內 移轉 投票 公投 主文 議題 定為 保障 人民 參政權 同意 政
府 應 2 中華民國 自由 地區 項 選舉 公投 落實 移轉 投票 制度 法制化 提案 
 說明 指出 憲法 賦予 人民 選舉 罷免 創制 複決權 民主 國家 積極 保障 人民 行使 投
票權 保障 無法 返回 戶籍地 行 投票權 民眾 實有 必要 制定 國內 移轉 投票 相關 法規 
 政府 怠惰 消極 遲遲 處理 擬具 公投 提案 
 
 民眾 黨團 副總召 張啓楷 提案 說明 指出 符合 世界 潮流 國內 民意 重啟 核電 民眾黨 
 次 提出 重啟 核三 公投 全 世界 潮流 返回 核電 美國 日本 南韓 核電 
 民進黨 符合 世界 潮流 民調 對撞 
 
 民進黨 立委 莊瑞雄 怒 批 張啓楷 政客 指出 去年 屏東 荼毒 40 核三廠 1 號機 正式 
 除役 今年 5月 17號 核三廠 2 號機 運作 40 好不容易 盼 除役 國家 公園 好不容 
易 兩 機組 貢獻 40 除役 現在 繼續 良心 屏東人 政客 霸
凌 提案 核廢料 放 民眾黨 立委 家 裡 一起 公投 執政 誓 
死 反對 
 
 民進黨 立委 沈伯洋 民意 這麼多 支持 法律 提案 藍 白 國會 占 多數 提 公
投 政治 操作 修法 工作 交給 全民 立委 民進黨 立委 蘇巧
 慧 兩 法案 修法 民眾黨 推到 人民 身 勞師動眾 站出 
 民眾黨 
 
 民眾黨 立委 劉書彬 沒 提 修法 原因 民進黨 執政 達到 效果 民眾黨 
 盼 透過 直接 民主 處理 民進黨 想 民主 不要 國際 笑話 台灣 

5. 完整 新聞 連結   短網址 不可 YAHOO LINE MSN 轉載 媒體 :",
M.1745025353.A.163,"
 看到 脆 篇 根本 造謠 文 
 講 在籍 投票 法規 
 台派 臨接 死亡 大軍 選票 
 下面 堆 闢謠 民主 封鎖",
M.1744960299.A.3A3,"女 正   女模   奶   簡直 飛機場 
 
 扣 很多 ? 
 
 女人 不見得 奶   不能 奶   至少 C杯   男人 至少 175 CM 


 正妹 貧乳   接受 ?   學姊 正妹 貧乳   皮膚 黑 
 
 身高 高   女生 隻 馬 貧乳 會不會 超級 扣分 ?   正妹 ? 

--
 雲林 支廳 主計 今村平藏  日記 蠻煙瘴雨 日記 書 記述  日 殖  雲林 大屠殺 慘況 
 
 兵 煙 之下 無不盡 成 肉山 血河 良匪 復 未 辨 薰蕕 幾千 房屋 竟 付諸 炬 無數 
 生靈 頃刻 間 成 斬首 台 怨魂 九芎林庄 成為 焦土 村民 血肉 飛散 變作 慘絕人寰 
 地獄 石榴班 海豐崙 殺戮 燒 焰 腥風 捲 煙 陽光 淒然 但見 雲林 斗六 地方 
 殘煙 死灰 未 滅 滿 眸 極其 酸鼻 令 暢然 自失 大有 天柱 折 地維 裂 概 
 
--",
M.1744966892.A.F33,"題 
 
 美國 最近 徵 關稅 國 爭利 
 
 財政部 天下 
 
 台灣 部門 同樣 重要 
 
 掌控 直接 飛天 
 
 沒 卦 

--",
M.1745035201.A.762,"覺得 堆 智障 中國 台灣 
 覺得 習 主席 殘暴 沒 人性 
 
 兩岸 屬 中國 
 中國人 中國人 
 習 主席 愛 民 子 
 
 敢 保證 
 習 主席 有生之年 
 中國 絕對 不會 台灣 
 
 
 前提 搞 台獨 
 
 搞 台獨 
 不用 害怕 擔心 
 
 中國 科技 進步 
 子彈 飛彈 長 眼 台獨 份子 
 
 習 主席 保護 台 中國人 
 
 贊成 反對",
M.1744976143.A.B92,"天 萬博
 剛剛 功課 看看 裡面 吃 
 
 熊熊 發現 捷克 館 評價 高 
 
 　 竟然 賣 刈包 

 份 2600",
M.1744964924.A.02D,"公平 
 飛可 竟然 拿到 麵餃 
 重新 選角 次 
 看起來 T1 下去 
 
 到底 要不要 重選 

--",
M.1745026698.A.E04,"其實 
 
 很多 逃逸 外勞 
 
 蠻 合法 外勞 乖乖 上班 加班 
 
 放假 工地 臨時工 
 
 節省 亂花 錢 寄回 越南 養 妻 小
 
 互相 尊重 
 
 離鄉背井 半 輩子 好過 一點 
 
 很多 外勞 領 台灣人 低 薪水 
 
 
 
 顧 機台 跑 生產線 加工 不會 
 輕鬆 種 工作 
 28 k
 累 
 工地 技術 工作 很多 天 2000 起跳 

 錢 台灣 仲介 扣 筆 
 
 台灣 拼 10-20 
 回 老家 養 3 代 愁 吃 穿 
 
 未來 充滿 希望 
 
 放假 開心 放鬆 



 結論 
 
 台灣 房價 物價 太 高 
 賺 錢 夠 滿足 小確辛
 未來 
 開心 起來 













—————————
 週休 性 專區 安樂死 


-----
Sent  from JPTT  on  my  i Phone 

--",
M.1744992519.A.FF1,"水管 推薦 

 機車   種 亂鑽   路 亂停 
 
 整 路 喇叭 停   台灣 早 拉下來",
M.1745018280.A.356,"去年 柯 抓 
 朱 主席 勿枉勿縱 
 打算 觀望 
 真 意見 
 畢竟 黨 
 其實 很多 民眾黨 支持 心 裡 疑慮 
 後來 鏡檢 潑 糞 發 
 找 金流 證據 瞎編 胡搞 
 當時 國民黨 少 部份 委員 柯p 發聲 
 然 國民黨 中央 噤聲 
 任由 綠媒 一起 造謠 
 相信 國民黨 明白 
 老百姓 看懂 
 國民黨 懂 
 禽獸党 司法 工具 政治 追殺 
 "" 今日 柯文哲 明日 "" 
 當時 亂 喊 
 今天 通通 實現 
 
 朱 主席 欠 柯文哲 道歉 
 迫害 
 正義 站出來 
 選舉 恩怨 記恨 知道 
 社會 公義 面前 發出 正義 聲 需要 遲疑 
 而今 大義 
 願意 放下 身段 柯文哲 道歉 公道 
 相信 426 真正 爆場 時刻 
 消除 民眾黨 支持 不平 
 願意 
 
 罷免 禽獸党 佔優 
 朱 主席 真的 知道 
 心 裡 知道 
 民眾黨 支持 擔心 全面 支持 
 國民黨 席次 增加 
 不用 甩 民眾黨 關鍵 席次 
 傻瓜 
 媒體 民調 民眾黨 低 
 或許 369萬 支持 未必 散 
 轉為 隱性 表態 
 藍 白 支持 討厭 禽獸党 
 屬性 真的 差 
 不見得 西 瓜 偎 支持 
 說到底 公義 面前 
 擔心 國民黨 黨 私 算計 
 討厭 禽獸党 60% 
 代表 國民黨 現在 已經 60% 
 
 國民黨 真正 合作 拿出 真正 誠意 
 想 併吞 民眾黨 算計 
 民眾黨 親民黨 
 原本 國民黨 走出來 
 更多 從前 民進黨 現 禽獸党 
 面對 國難 當頭 越 無私 合作 
 藍 白 更加 團結 基礎 
 總 想 黨 獨 
 席次 比例 禮讓 公平 競爭 
 合作 志同道合 別在 貌合神離 
 想要 怒吼 人民 很多 
 表示",
M.1745034865.A.974,"不能 認定 經手 
 不能 推論 
 
 應該 先 羈押 禁見 兩 防止 串供 慢慢 找 證據 
 找 羈押 禁見 兩 
 現在 沒 證據 代表 以後 找 證據 
 
 檢方 擺爛 敢 得罪 國民黨 高層 
 
 支持 應該 抓 朱立倫 證明 朱立倫 知情 
 
--",
M.1745030223.A.FDB,"備註 放 後面   違者 新聞 文章 刪除 

1 . 媒體 來源 :",
M.1744977763.A.C28,"題 
 
 最近 公司 倒帳 導致 股價 暴跌 
 
 想 
 
 敢 準備 倒閉 
 
 查 一下 股價 
 
 
 
 公司 買下來 
 
 筆 帳 變成 超長期 債務 呆帳 
 
 實務 種 事情 
 
 我方便 不用 認列 呆帳   導致 淨值 歸零 
 
 投資方 撤資 
 
 股價 不會 受 影響 
 
 白話文   對面 想 倒閉 
 
 直接 買下來 不准 倒 




-----
Sent  from JPTT on  my  iPhone 

--",
M.1745004822.A.966,"目前 好像 釋憲   說明會 
 
 檢查 程序 問題 
 
 釋字 第342 號 
 
 　 立法院 審議 法律案 須 牴觸 憲法 範圍 自行 訂定 議事 規範 法律案 
 立法院 移送 總統 公布 否 踐行 議事 應 程序 明顯 牴觸 憲法 外 內
部 事項 屬於 議會 自律 原則 應 自行 認定 範圍 並非 釋憲 機關 審查 對象 總統 
 憲法 第七十二 條 規定 立法院 移送 公布 法律 縱有 議事 規範 不符 情形 然 
 形式 既已 存在 應 中央 法規 標準法 第十三 條 規定 發生 效力 法律案 立法 程序 
 調查 事實 即可 認定為 牴觸 憲法 亦即 違反 法律 成立 基本 規定 明顯 重大 瑕疵 
 釋憲 機關 宣告 無效",
M.1744974832.A.D57,"當初 列寧 毛澤東 發起 產 階級 革命 
 
 透過 農村 包圍 城市 人民 戰爭 宣傳 
 
 傳統 黨國 沙俄 權貴 推翻掉 
 
 建立 高度 集中 政治 體制 
 
 黨 組織 控制 國家 社會 
 
 奪 權 治理 國家 兩回事 
 
 共產主義 太 反 人性 導致 生產力 出 問題 
 
 紅色 恐怖 文化大革命 種種 手段 
 
 說明 套 真的 唬弄 人民 根本 奪 權 利器 
 
 反正 拿到 政權 轉彎 行 
 
--",
M.1744975727.A.4A3,"高雄 雙 罷劫 2 領銜人 遭 傳喚   負責人 靜坐 抗議 抓 
2025-04-18  19:18   聯合報 ／  記者 林保光 巫鴻瑋 ／ 高雄 即時 報導 

 高雄 雙 罷劫 行動 2 名 罷免 行動 領銜人 今天 遭 檢調 搜索 傳喚 行動 負責人 徐尚賢 
 高雄 市調處 鳳山 調查站 靜坐 放 傍晚 調查 人員 突然 持 拘票 出門 鳳山 調查站 門口 
 拘捕 


 高雄 雙 罷劫 行動 罷免 綠委 許智傑 黃捷 今天 行動 總部 2 名 領銜人 住處 遭 檢調 搜
索 徐尚賢 下午 高雄 市調處 鳳山 調查站 外 靜坐 要求 放 

 徐尚賢 檢調 違反 個資 偽造 文書 搜索 質疑 符合 比例 原則 民進黨 綠 
色 恐怖 黨國 體制 警總 復辟 


 徐尚賢 原本 打算 調查局 放出 雙 罷劫 領銜人 朱磊 黃晃枝 今天 傍晚 鳳山 調查
站 人員 突然 出門 持 拘票 徐尚賢 宣讀 權利 拘捕 令 錯愕 


 徐尚賢 連忙 支持 錄影 拍照 高 喊 綠色恐怖 支持 一再 高呼 非法 逮捕 
 警調 放 徐尚賢 抵抗 遭 警 調 人員 手銬 強行 推 鳳山 調查站 大門 涉案 內容 
 檢方 查明",
M.1745042479.A.1F7,"露比醬 !   嗨 !   喜歡 ? 

 比起 薄荷 巧克力   喜歡   阿!  娜 !   答 ! 


 綠色 蟾蜍醬 !     嗨 !   喜歡 ? 

 比起 抗 保 台  愛 台灣   喜歡   新 ! 台 ! 幣 ! 


 洗腦 !   最近 首 歌 油   抖音 紅 ?   到底 紅 ? 



 沒 八卦 ? 

--",
M.1745030088.A.898,"udn 

 碧潭堰 魚道 大頭鰱 爆量   學者 外來種 增生 癌細胞 擴散 

  記者 游明煌 ／ 基隆 即時 報導 
 
 新店 碧潭堰 月初 出現 逾 千 尾 大頭鰱 溯 溪 準備 產卵 新北市 水利局 指 新建 人工魚 
道 發揮 功效 顯示 河川 豐富 生態 記者 張策 ／ 攝影 
 
 新店 碧潭堰 月初 出現 逾 千 尾 大頭鰱 溯 溪 引發 民眾 議論 新北市 水利局 指 新建 
 人工 魚道 發揮 功效 河川 豐富 生態 說法 遭 質疑 國立 台灣 海洋 大學 海洋 生物 研究所 陳義
雄 教授 水域 生態 沒 整治好 外來種 大頭鰱 大量 增生 癌細胞 擴散 適得其反 
 
 新北市 水利局 河川 工程 科長 傅光維 日前 碧潭堰 首次 大頭鰱 類 大型 魚種 洄游 
 凸顯 生態 豐富 魚道 發揮 功效 

 台灣 河溪網 協會 中華民國 溪流 環境 協會 中華民國 自然 生態 保育 協會 生態 專業 技術 服
務 商業 同業 公會 發出 共同 聲明 指 魚群 利用 人工 魚道 移動 現象 應 擴大 詮釋為 凸顯 
 生態 豐富 大頭鰱 外來種 利用 人工 魚道 溯 溪 景象 並非 所謂 洄游 產卵 
 

 學者 陳義雄 學術 專業 分析 水利 單位 魚 游 殊不知 引為 亮點 
頭鰱 根本 水產 養殖 引入 外來 魚類 河段 本土 魚類 很少 吳郭魚 為數 高 

 陳義雄 表示 水利 單位 通暢 水域 魚道 原本 好事 樁 錯誤 外來種 移除 水域 生態 
 沒 整治 外來種 等於 增加 癌細胞 擴散 生態 適得其反 

 生態 已經 生病 大幅 打通 任督二脈 之前 先 標靶 治療 去除 外來種 癌細胞 
 避免 擴散 全 身 死 快 陳義雄 建議 農業 保育 單位 介入 下游 外來種 
 淪陷區 先 治病 打通 生態 廊道 

 新店 碧潭堰 月初 出現 逾 千 尾 大頭鰱 溯 溪 準備 產卵 新北市 水利局 指 新建 人工魚 
道 發揮 功效 顯示 河川 豐富 生態 記者 張策 ／ 攝影",
M.1744961263.A.022,"題 
 
 常常 看到 日本 學生妹 

 X 賣淫 
 
 價格 


 為啥 
 
 日本 保守 國家 
 
 沒 卦 
 
--",
M.1744987251.A.B6A,"晚安 
 
 肥宅 家 校園 社會 底層 存在感 

 物種 

 家 父母 兄弟 姊妹 看不起 校園 地位 校狗 低 
 
 社會 聚會 聚餐 肥宅 付錢 苦力活 肥宅 

 唯一 成就感 地方 動漫 了解 
 
 天 肥宅 事業 有成 百億 身價 住在 極致 奢華 

 莊園 身邊 秘書 管家 僕人 司機 無數 出門 勞斯萊
 
斯 穿著 管家服 司機 幫 開 車門 
 
 女生 眼 樣 存在 

 校園 地位 校狗 高 

 社會 女生 無視 
 
 百億 身價 肥宅 依舊 喜歡 動漫 盯 螢幕 科科 笑 
 
 女生 喜歡 肥宅 桃花 

 方面 八卦 

--",
M.1745020181.A.97A,"版 討論 

    中國 古代 數學 輸 脫 褲子 

    突然 想到 

    中國 常 吹   史料 完整   國史 重視 

    其實 古代   沒 發展出 史學 研究 方法論 

    單純 記事   拿來 政治 應用 

     研究 成分 其實 很少 
 

     史學 輸   幾乎 贏得 東西 
 
     沒 八卦 ? ?? 

--",
M.1744995162.A.A36,"餓死 抬頭 
 羈押庭 九點 四十 開 現在 小時 
 相信 北檢 正 磨刀 霍霍 升官 
 等一下 凌晨 一兩點 
 會不會 有幸 看到 北檢 發動 無限 抗告 
 逼 法官 裁定 區區 偽造 文書 罪 羈押 禁見 
 
 乾五 八卦 
 
--",
M.1745025666.A.E49,"肥宅 開 槓桿 
 
 股票 跌 太 慘 繳 出 保證金 
 
 券商 要求 保證 
 

--",
M.1744960487.A.85E,"兩 天 聽聞 以前 學校 附近 麻將館 警察 杯杯 站崗 檢查 
 麻將館 早 很多 地方 相安無事 好幾 
 主要 桌遊店 性質 益智類 交流 場地 
 到底 麻將館 台灣 合法 

--",
M.1744989165.A.FC9,"昨天 知道 幹什麼 
 突然 隻 神明 大腦 浮現 法藏 法師 天堂 天 上
 神明 說話 樣子 
 想 法藏 法師 好人 
 
 1998年 左右 參加 講課 齋戒 學會 
 潛意識 一直 出 問題 好像 地獄 
 2015年 妙通寺 住 兩 現在 天 妖怪 雙修 
 
 覺得 輩子 學佛 好像 沒用 
 地獄 
 
 
 身 好幾 隻 狐狸 喜歡 假扮 雙修 
 狐狸 天堂 事 
 
 狐狸 現在 一下 變 朴英奎 一下 變 法藏 法師 
 丹田 練 

----- 
 Sent  from JPTT  on  my  iPad 

-- 
 發生  ",
M.1744985584.A.A78,"現在 出 油 偷著 樂 
 35 歲 之後   發現 沒 出 油 朋友 
 整 天 擔心 要不要 保養 
 老 速度 像是 下毒咒 
 肥 宅油油 幫 撐住 
 免費 保養品 保護膜 
 
 好好 珍惜",
